127.0.0.1 - - [08/May/2024:17:40:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/ HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/images/logo.png HTTP/1.1" 200 41950
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/css/common.css HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:13 +0900] "GET /pro01/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:17 +0900] "GET /pro01/member/term.jsp HTTP/1.1" 200 25592
0:0:0:0:0:0:0:1 - - [08/May/2024:17:40:20 +0900] "GET /pro01/Join.do HTTP/1.1" 200 8755
